Symbol,Name,Stock_Price,Change,Pc_change,High,Low,Volume
DOYU,Douyu International Holdings Ltd Ads,9.36,0.01,0.11%,9.43,9.22,2714000
SWCH,Switch Inc,15.75,-0.17,-1.07%,16.17,15.64,2671600
RPAI,Retail Properties of America,12.85,0.02,0.16%,12.89,12.76,2660500
TGTX,Tg Therapeuticscmn,13.1,-0.08,-0.61%,13.6,12.72,2652000
MAT,Mattel Inc,14.43,0.36,2.56%,14.46,13.92,2639600
GRUB,Grubhub Inc,53.69,1.31,2.50%,54.16,51.42,2610300
VG,Vonage Holdings,7.67,0.15,1.99%,7.68,7.35,2594900
OLLI,Ollies Bargain CS,55.5,-2.27,-3.93%,56.87,54.93,2562700
APPN,Appian Corp Cl A,49.39,5.05,11.39%,50,45.81,2536600
STAY,Extended Stay America Inc,14.1,0.17,1.22%,14.22,13.77,2506700
CC,Chemours Company,16.89,0.46,2.80%,17.33,16.38,2500100
MTDR,Matador Resources Company,17.33,-0.88,-4.83%,18.15,17.2,2491600
UNIT,Uniti Group Inc,8.1,0.16,2.02%,8.16,7.89,2438600
ITCI,Intra-Cellular Ther,26.73,0.83,3.20%,26.85,25.32,2340500
RLGY,Realogy Holdings Corp,9.34,0.21,2.30%,9.36,8.96,2339400
URBN,Urban Outfitters Inc,26.09,-0.3,-1.14%,26.67,25.97,2302400
PTEN,Patterson-Uti Energy,10.09,0.01,0.10%,10.15,9.84,2271700
GT,Goodyear Tire Rubber,14.94,0.47,3.25%,14.94,14.36,2262600
PAAS,Pan Amer Silver Corp,21.99,-0.57,-2.53%,22.42,21.97,2216400
VIAV,Viavi Solutions,15.2,0.08,0.53%,15.35,15.18,2191900
HRTX,Heron Therapeutics,22.21,1.19,5.66%,22.27,20.68,2178400
BEST,Best Inc,6.39,0.26,4.24%,6.45,6.18,2158500
MNTA,Momenta Pharma,20.5,1.54,8.12%,20.71,18.85,2121400
PAGP,Plains Gp Holdings LP,19.14,-0.03,-0.16%,19.3,19,2110200
FTCH,Farfetch Ltd Cl A,11.17,0.02,0.18%,11.45,11.01,2099600
OI,Owens-Illinois,13.84,0.22,1.62%,13.96,13.61,2088500
CMC,Commercial Metals Company,22.6,0,0.00%,22.76,22.44,2049100
OLN,Olin Corp,16.71,0.32,1.95%,16.78,16.27,2046700
THC,Tenet Healthcare Corp,36.51,0.33,0.91%,36.8,35.73,2032200
FNB,F.N.B. Corp,12.46,0.13,1.05%,12.49,12.3,2028500
CCJ,Cameco Corp,9.1,0.15,1.68%,9.1,8.91,2014000
HTZ,Hertz Global Holdings Inc,16.25,0.39,2.46%,16.34,15.92,2000200
REZI,Resideo Technologies Inc,11.88,0.25,2.15%,11.94,11.4,1977700
KAR,Kar Auction Services Inc,21.86,0.47,2.20%,21.89,21.27,1977000
EPRT,Essential Properties Realty Trust Inc,25.98,0.42,1.64%,26.08,25.49,1972100
SLM,SLM Corp,8.41,0.02,0.24%,8.45,8.3,1962800
CROX,Crocs Inc,42.23,-0.66,-1.54%,43.04,40.52,1961800
TRIP,Tripadvisor Inc,30.61,0.49,1.63%,30.68,29.97,1957700
SBRA,Sabra REIT,21.81,0.47,2.20%,21.87,21.26,1947000
ARQL,Arqule Inc,19.99,0,0.00%,20.01,19.99,1940500
WW,Weight Watchers International Inc,45.4,0.54,1.20%,46.22,44.35,1934200
BIG,Big Lots,30.06,0.98,3.37%,30.44,28.4,1929500
SFIX,Stitch Fix Inc,24.65,1.47,6.34%,24.65,23.18,1922400
BOOT,Boot Barn Holdings Inc,45.82,0,0.00%,45.89,42.05,1890000
FRO,Frontline Ltd,12.75,0.2,1.59%,12.81,12.33,1879000
MUR,Murphy Oil Corp,27.3,0.16,0.59%,27.34,26.75,1877000
KBH,KB Home,35.26,-0.6,-1.67%,36.24,35.19,1854900
INMD,Inmode Ltd,44.74,2.6,6.17%,45.35,42.75,1846400
SHAK,Shake Shack Inc,60.3,-0.82,-1.34%,61.08,59.5,1835900
NEO,Neogenomics Inc,31.78,1.67,5.55%,32.02,30.09,1831500
ISBC,Investors Bancorp,11.62,-0.01,-0.09%,11.63,11.55,1829800
IGT,International Game Technology,14.85,0.11,0.75%,14.87,14.55,1821200
COMM,Commscope Holding Company,14.06,0.44,3.23%,14.12,13.6,1806500
EAF,Graftech International Ltd,11.4,0.2,1.79%,11.41,11.13,1803900
TWOU,2U Inc,21.21,-0.3,-1.39%,22.17,20.95,1800200
MSGN,Msg Networks Inc,15.66,-0.39,-2.43%,16.04,15.41,1798700
CMRE,Costamare Inc,10.66,0.74,7.46%,10.68,10.01,1786300
KPTI,Karyopharm Therapeut,17.24,-1.14,-6.18%,18.84,17.1,1783400
HALO,Halozyme Therapeutic,18.77,-0.22,-1.16%,19.02,18.57,1781000
MTOR,Meritor Inc,25.53,0.13,0.51%,25.76,25.11,1780100
CDLX,Cardlytics Inc,85.05,16.82,24.65%,85.51,73.84,1759900
AXE,Anixter International Inc,98.33,-0.46,-0.47%,98.66,97.9,1758100
ADT,ADT Inc,6.3,0,0.00%,6.38,6.02,1754400
FLR,Fluor Corp,18.84,0.12,0.64%,18.91,18.39,1744900
FSCT,Forescout Technologies Inc,33.17,0.61,1.89%,33.75,32.3,1733600
BPMC,Blueprint Medicines Corp,75.64,-6.58,-8.00%,83.05,74.09,1718400
ADSW,Advanced Disposal Services Inc,32.95,0.02,0.06%,32.95,32.91,1701200
AGI,Alamos Gold Inc,5.44,-0.31,-5.39%,5.69,5.42,1699300
WMGI,Wright Med Grp NV,30.43,-0.02,-0.07%,30.48,30.38,1693700
SAND,Sandstorm Gold Ltd,6.68,-0.2,-2.91%,6.88,6.67,1683500
TGNA,Tegna Inc,16.8,0.3,1.82%,16.87,16.35,1679000
SIG,Signet Jewelers Ltd,20.19,0.69,3.54%,20.38,19.17,1666000
TNDM,Tandem Diabetes Care,67.91,0.66,0.98%,68.1,65.13,1661900
PEB,Pebblebrook Hotel Trust,25.6,0.04,0.16%,25.78,25.26,1659100
FSK,FS KKR Capital Corp,6.26,0.01,0.16%,6.28,6.24,1638400
LXP,Lexington Realty Trust,10.75,0.06,0.56%,10.83,10.64,1631500
NAVI,Navient Cp,13.51,0.09,0.67%,13.52,13.27,1624300
MAC,Macerich Company,25.25,0.24,0.96%,25.46,24.94,1615800
BZUN,Baozun Inc Ads,36.89,1.04,2.90%,37.17,36.25,1601300
EGO,Eldorado Gold Corp,7.21,-0.31,-4.12%,7.56,7.2,1589500
BJ,Bj's Wholesale Club Holdings Inc,22.89,0.03,0.13%,23.03,22.74,1589400
PGNY,Progyny Inc,31.81,2.55,8.71%,31.85,29.14,1587400
CPG,Crescent Pt Energy,4.53,-0.03,-0.66%,4.59,4.42,1585000
ZUO,Zuora Inc,15.45,0.42,2.79%,15.56,14.93,1581200
KBR,KBR Inc,29.96,-0.41,-1.35%,30.36,29.77,1580700
BVN,Compania Mina Buenaventura S.A.,13.43,-0.54,-3.87%,13.95,13.38,1580100
UPWK,Upwork Inc,9.79,-0.24,-2.39%,10.05,9.75,1563300
RLJ,Rlj Lodging Trust,16.66,0.04,0.24%,16.73,16.52,1561200
AVYA,Avaya Holdings Corp,12.25,-0.22,-1.76%,12.57,12.14,1557300
IVR,Invesco Mortgage Capital Inc,17.07,0.1,0.59%,17.08,16.99,1557000
RH,Restoration Hardware Holdings,215.51,7.88,3.80%,215.93,203.15,1556400
INGN,Inogen Inc,47.69,-13.48,-22.04%,50.92,47.28,1540400
GGAL,Grupo Fin Galicia,15.62,-0.75,-4.58%,16.48,15.48,1529000
AMRX,Amneal Pharmaceuticals Inc,4.5,-0.01,-0.22%,4.58,4.34,1528300
ESRT,Empire State Realty Trust Inc,14.06,0.16,1.15%,14.06,13.87,1520000
PACW,Pacwest Bancorp,36.68,0.07,0.19%,36.92,36.41,1516200
CNK,Cinemark Holdings Inc,31.41,0.28,0.90%,31.73,31.13,1515200
RUN,Sunrun Inc,15.24,0.33,2.21%,15.27,14.76,1512000
QURE,Uniqure N.V.,67.5,-5.59,-7.65%,72.2,65.9,1507900
AUPH,Aurinia Pharm Ord,19.79,-0.42,-2.08%,20.21,19.41,1493800
GWPH,Gw Pharma ADR,117.11,9.58,8.91%,117.58,109.71,1489400
FND,Floor & Decor Holdings Inc,47.06,-0.53,-1.11%,47.56,46.05,1477100
EGHT,8X8 Inc,18.99,-0.07,-0.37%,19.12,18.51,1476200
SITC,Site Centers Corp,12.93,0.19,1.49%,12.95,12.7,1472600
LVGO,Livongo Health Inc,28.55,1.55,5.74%,29.89,28.17,1460000
