Symbol,Name,Stock_Price,Change,Pc_change,High,Low,Volume
PTE,Polarityte Inc,3.42,0.11,3.32%,3.63,3.23,380800
CLUB,Town Sports International,2.8,0.16,6.06%,2.96,2.53,377000
PIRS,Pieris Pharma,3.33,-0.04,-1.19%,3.4,3.25,376300
CHMA,Chiasma Inc,4.74,0.07,1.50%,4.89,4.7,373900
NVCN,Neovasc Inc,3.16,0,-0.16%,3.25,3.05,373600
SSPK,Silver Spike Acquisition Corp Cl A,10,0.03,0.30%,10.02,9.98,363400
ASNA,Ascena Retail Group,6.41,-0.33,-4.90%,6.78,6.35,352200
GALT,Galectin Therapeutic,2.94,0.04,1.38%,3.07,2.92,336000
USAS,Americas Silver Corp,2.85,-0.08,-2.73%,2.93,2.83,334500
VERI,Veritone Inc,2.4,-0.09,-3.61%,2.5,2.37,328500
QUAD,Quad Graphics Inc,4.66,-0.07,-1.48%,4.82,4.63,327200
TWI,Titan International,3.43,-0.27,-7.30%,3.68,3.36,325600
HRZN,Horizon Technology F,13.63,0.26,1.94%,13.67,13.37,322200
ASPU,Aspen Group Inc,8.13,0.26,3.30%,8.42,7.78,305900
ABUS,Arbutus Biopharma Cp,2.95,-0.08,-2.64%,3.17,2.88,301600
MBIO,Mustang Bio Inc,4.15,0,0.00%,4.17,4.04,300400
WWR,Westwater Resources,2.46,0.14,6.03%,2.55,2.3,297900
EVC,Entravision Communications Corp,2.28,0.02,0.88%,2.31,2.2,297500
NYMX,Nymox Pharm Corp,2.95,-0.04,-1.34%,3.04,2.85,296700
FLLC,Fellazo Inc,9.97,0.02,0.20%,9.97,9.94,289600
LQDA,Liquidia Technologies Inc,5.55,1.02,22.52%,5.74,4.56,286900
PBT,Permian Basin Royalty Trust,4.03,0.01,0.25%,4.13,3.96,284800
AXGT,Axovant Sciences Ltd,4.93,-0.05,-1.00%,5.23,4.71,283400
SOLO,Electrameccanica Vehs Corp,2.21,0.04,1.84%,2.24,2.12,283400
LOV,Spark Networks Plc,4.8,0.21,4.58%,4.83,4.55,282500
GRWG,Growgeneration Corp,4.44,0.08,1.83%,4.5,4.25,279400
PIR,Pier 1 Imports,3.67,0.17,4.86%,3.7,3.2,278400
LIQT,Liqtech International Inc,6.44,0.06,0.94%,6.53,6.12,269200
LUNA,Luna Innovations Inc,8.03,0.16,2.03%,8.06,7.89,268900
MRKR,Marker Therapeutics Inc,3.03,0.08,2.71%,3.04,2.95,264100
XERS,Xeris Pharmaceuticals Inc,5.55,-0.25,-4.39%,5.89,5.3,263900
