Symbol,Name,Stock_Price,Change,Pc_change,High,Low,Volume
NLTX,Neoleukin Therapeutics Inc,8.35,-0.4,-4.57%,8.75,8.18,692500
FNKO,Funko Inc Cl A,15.93,0.46,2.97%,16,15.39,688500
MNRL,Brigham Minerals Inc,18.81,-0.09,-0.48%,19.01,18.43,684900
HLIT,Harmonic Inc,8.12,0.27,3.44%,8.19,7.92,680100
RRD,Donnelley [R.R.] & Sons Company,3.62,0.01,0.28%,3.69,3.39,671100
FINV,Finvolution Group,2.69,0.14,5.49%,2.75,2.58,663200
MBI,MBIA Inc,9.13,0.1,1.11%,9.14,8.86,658600
PETS,Petmed Express Inc,25.39,1.56,6.55%,25.45,23.72,656500
TUP,Tupperware Corp,8.11,0.07,0.87%,8.14,7.95,652700
BRBR,Bellring Brands Inc Cl A,20.53,-0.1,-0.48%,20.92,20.43,650900
ACMR,Acm Research Inc,26.28,2.65,11.21%,26.43,24.15,639000
LTRPA,Liberty Tripadv A,7.38,0.2,2.86%,7.42,7.09,612500
OCSL,Oaktree Specialty Lending Corp,5.49,0,0.00%,5.52,5.46,611700
AKRO,Akero Therapeutics Inc,20.11,-0.12,-0.59%,20.87,19.79,606800
PGNX,Progenics Pharmaceuticals,4.51,-0.27,-5.65%,4.74,4.51,604900
RUBY,Rubius Therapeutics Inc,8.82,-0.52,-5.57%,9.09,8.49,602900
RDUS,Radius Health,18.36,-1.07,-5.51%,19.58,18.23,600900
ATRA,Atara Biotherap,16.19,-0.33,-2.00%,16.63,15.51,600000
RTRX,Retrophin Inc,15.4,0.27,1.82%,15.51,14.63,599300
EIGR,Eiger Biopharma,13.7,-0.14,-1.01%,14.02,13.54,596900
ANH,Anworth Mortgage Asset Corp,3.6,0.06,1.69%,3.61,3.51,596600
GPRE,Green Plains Inc,13.44,-0.56,-3.96%,14,13.35,593700
AOBC,American Outdoor Brands Corp,9.35,0.12,1.30%,9.35,9.2,593500
CRBP,Corbus Pharma,6.36,0.05,0.79%,6.38,6.05,585400
MITK,Mitek Systems Inc,8.73,0.3,3.56%,8.83,8.37,582600
CBB,Cincinnati Bell Inc,10.76,0.02,0.19%,10.78,10.7,575700
LAC,Lithium Americas Corp,4,0.05,1.27%,4.08,3.92,573700
CNSL,Consolidated Communications Holdings Inc,3.93,-0.07,-1.75%,4.02,3.91,562100
PRVB,Provention Bio Inc,15.8,0.17,1.09%,15.88,15.14,558900
OIS,Oil States International,15.82,-0.18,-1.13%,15.91,15.58,557600
STAR,Istar Financial Inc,14.51,0.36,2.54%,14.52,14.11,540700
DOMO,Domo Inc Cl B,24.56,0.37,1.53%,24.97,24,539700
SILV,Silvercrest Metals Inc,6.4,0.03,0.47%,6.49,6.25,531500
